ID,Name:,Hersteller:,Erzeugnis aus:,Region:,Wein:,Jahrgang:,Rebsorte:,Qualität:,Alkohol in %:,Geschmack:,Allergene:,Ausbauart:,Trinktemperatur in °C:,Trinkempfehlung:,Verschluß:,Auszeichnungen:,Paßt zu:,Lage:,Boden:,Essen:,Herstellung:,Dekantieren:,Säure g/l:,Restzucker g/l:,Produkt aus biologischem Anbau:,Biokontrollstelle:,Diverses:,Zutaten:,Verkäufer:,Verkostungsnotiz:
564,   Weingut Prechtl   2020 Grüner Veltliner trocken 'Classic' ," Weingut Prechtl, Zellerndorf 12, 2051 Zellerndorf, Österreich ", Österreich , Weinviertel DAC , Weißwein ,2020, Grüner Veltliner , Qualitätswein , 12.5 , trocken , Enthält Sulfite , Edelstahltank , 10 - 12 , bis 2024 ,, Stelvin-Drehverschluß , 5.9 , 2.0 ,,Löß auf Urgestein,,,,,,,,,1," Der 2020 Grüner Veltliner Classic duftet fein nach frischen Äpfeln und Williamsbirnen, im Hintergrund mit leicht zitroniger Würze und dem typischen Pfefferl. Am Gaumen sehr frischer Auftakt, die präsente, aber feine Säure sorgt zusammen mit der eleganten und saftigen Frucht für ordentlichen Trinkfluß. Feine exotische Aromen entwickeln sich nach längerem Sauerstoffkontakt. Der Wein hat einen wunderbaren feinen Charakter."
565,   Weingut Prechtl   2020 Grüner Veltliner trocken 'Ried Längen' ," Weingut Prechtl, Zellerndorf 12, 2051 Zellerndorf, Österreich ", Österreich , Weinviertel DAC , Weißwein ,2020, Grüner Veltliner , Qualitätswein , 13.0 , trocken , Enthält Sulfite , Edelstahltank , 10 - 12 , 2026+ ,, Stelvin-Drehverschluß , 5.0 , 1.0 ,,,,,,,,,,,1," Der 2020 Grüner Veltliner Ried Längen hat das typische Pfefferl, gefolgt von einem fruchtbetonten Bukett mit Aromen von frischen Äpfeln, Williamsbirnen und Ananas, abgerundet mit dezent zitroniger Würze.Am Gaumen startet er saftig, die feine und pikante Säure sorgt für einen lebhaften Auftakt, gefolgt von viel saftiger Frucht. Der Wein entwickelt einen enormen Trinkzug."
566,   Weingut Prechtl   2020 Grüner Veltliner trocken 'Alte Reben' ," Weingut Prechtl, Zellerndorf 12, 2051 Zellerndorf, Österreich ", Österreich , Weinviertel DAC , Weißwein ,2020, Grüner Veltliner , Qualitätswein , 13.0 , trocken , Enthält Sulfite , Edelstahltank , 10 - 12 , 2025+ ,, Stelvin-Drehverschluß , 5.6 , 2.0 ,,Lößboden auf Urgestein,,,,,,,,,1,
567,   Weingut Prechtl   2020 Grüner Veltliner trocken 'Ried Altenberg' ," Weingut Prechtl, Zellerndorf 12, 2051 Zellerndorf, Österreich ", Österreich , Weinviertel DAC , Weißwein ,2020, Grüner Veltliner , Qualitätswein , 13.0 , trocken , Enthält Sulfite , Edelstahltank , 10 - 12 , bis 2025+ ,, Stelvin-Drehverschluß , 5.4 , 1.0 ,,,,,,,,,,,1," Der 2020 Grüner Veltliner Ried Altenberg duftet komplex, Aromen von Mirabellen, Aprikosen, Ananas und reifer Birne dominieren die Nase, dazu etwas Honigmelone und Zitrusaromen.Der Auftakt am Gaumen ist kraftvoll, viel saftige Frucht, mit ausgeprägter Mineralik und frischer Säure geht es weiter zu den bereits in der Nase präsenten Aromen, ergänzt vom typischen Pfefferl. Nach kurzem Sauerstoffkontakt kommen exotische Aromen von Orangenschalen und Mandarinen hinzu. Der Nachhall ist lang und dezent salzig, die Struktur ist ausgewogen und harmonisch."
568,"   Weingut Dreissigacker, Bioweingut   2020 Weissburgunder trocken 'Eintausender' "," Weingut Dreissigacker, Bioweingut, Jochen Dreissigacker, Untere Klinggasse 4, 67595 Bechtheim ", Deutschland , Rheinhessen , Weißwein ,2019, Weißer Burgunder/Pinot Blanc/Pinot Bianco , Qualitätswein , 12.5 , trocken , Enthält Sulfite , Edelstahltank , 8 - 10 , bis 2024 ,, Stelvin-Drehverschluß , 5.7 , 4.2 ,,,,," Apéritif, Fisch, Süßwasser, Salat ",,, Bio nach EU Ökoverordnung ,DE-ÖKO-022,,1,
569,"   Weingut Dreissigacker, Bioweingut   2020 Grauburgunder trocken "," Weingut Dreissigacker, Bioweingut, Jochen Dreissigacker, Untere Klinggasse 4, 67595 Bechtheim ", Deutschland , Rheinhessen , Weißwein ,," Grauer Burgunder, Pinot Gris, Pinot Grigio ", Qualitätswein , 12.5 , trocken , Enthält Sulfite ," Edelstahltank, Tonneau ", 10 - 12 , 2024+ ,, Stelvin-Drehverschluß ,,,Weinbergslagen um Bechtheim,Kalkmergel und Löß-Lehm.,"Kurze Maischestandzeit, Spontangärung über 12 Wochen",,,,, Bio nach EU Ökoverordnung ,DE-ÖKO-022,,1," Der 2020 Grauburgunder trocken hat einen zupackenden, herrlich frischen Charakter. Er hat Aromen von Mirabellen, Weinbergspfirsich, grüner Honigmelone und Zitrusfrüchten. Am Gaumen ist er frisch, zupackend, dabei saftig und cremig mit feinem Süßmandelaroma. Die reife Säure und dezente Süße ergänzen die aromatische Frucht perfekt."
570,   Weingut Metzger   2020 Chardonnay trocken -B- ," Weingut Metzger, Uli Metzger Langgasse 34, 67269 Grünstadt-Asselheim ", Deutschland , Pfalz , Weißwein ,2020, Chardonnay , Qualitätswein , 12.5 , trocken , Enthält Sulfite , Edelstahltank , 8 - 12 , bis 2024+ ,, Stelvin-Drehverschluß ,,,,,,," Geflügel, Salat, Salzwasserfisch ",,,,,,1,
571,   Le Vieux Donjon   2020 Châteauneuf-du-Pape Blanc ," Le Vieux Donjon, 9, Avenue de Saint Joseph F-84230 Châteauneuf-du-Pape ", Frankreich ," Rhône, südlicher Bereich ", Weißwein ,2020," Clairette, Roussanne ", Châteauneuf-du-Pape , 14 , trocken , Enthält Sulfite ,, 10 - 14 ,,, Naturkork ,,,,,, Robert Parker ,,,,,,,1,
572,"   Ökonomierat Rebholz, Bioweingut   2020 Grauer Burgunder trocken VDP.Gutswein "," Ökonomierat Rebholz, Bioweingut, Weingut Ökonomierat Rebholz Weinstraße 54 76833 Siebeldingen ", Deutschland , Pfalz , Weißwein ,2020, Weißer Burgunder/Pinot Blanc/Pinot Bianco , VDP Gutswein , 13.5 , trocken , Enthält Sulfite , Edelstahltank , 10 - 12 , bis 2030 ,, Stelvin-Drehverschluß , 6.6 , 0.3 ,,,, Wein Direktimport ," Fisch, Geflügel, leichten Sommerküche ",,, Bio nach EU Ökoverordnung ,DE-ÖKO-003,,1," Der 2020 Grauer Burgunder trocken ist ein würziger, klassischer Burgunder. In der Nase mit intensiver Aromatik, leicht nussig, etwa Rauch und dezent Kräuter.Am Gaumen ist er würzig und zupackend, dabei gleichzeitig mit der feingliedrigen Struktur auch elegant und subtil. Die Säure ist perfekt eingebettet, die fehlende Restsüße überrascht beim ersten Schluck, paßt aber perfekt zum Charakter des Weines. Aufgrund seines trockenen Charakters ist ein perfekter Speisenbegleiter."
573,"   Ökonomierat Rebholz, Bioweingut   2020 Weißer Burgunder trocken VDP.Gutswein "," Ökonomierat Rebholz, Bioweingut, Weingut Ökonomierat Rebholz Weinstraße 54 76833 Siebeldingen ", Deutschland , Pfalz , Weißwein ,2020, Weißer Burgunder/Pinot Blanc/Pinot Bianco , VDP Gutswein , 13.0 , trocken , Enthält Sulfite , Edelstahltank , 10 - 12 , bis 2030 ,, Stelvin-Drehverschluß , 6.4 , 0.3 ,,,, Wein Direktimport ," Fisch, Geflügel, leichten Sommerküche ",,, Bio nach EU Ökoverordnung ,DE-ÖKO-003,,1," Der 2020 Weißer Burgunder trocken ist ein betont eleganter, klarer Weißwein mit feiner und zarter Aromatik. Er duftet nach frischem grünen Apfel, Zitronenmelisse, Zitrone und etwas Thymian. Am Gaumen ist frisch, saftig und dabei wunderbar elegant. Die Säure ist überraschend gut integriert und nicht dominierend. Wegen seines trockenen Charakters ist ein perfekter Speisenbegleiter."
574,"   Ökonomierat Rebholz, Bioweingut   2020 Riesling trocken VDP.Gutswein "," Ökonomierat Rebholz, Bioweingut, Weingut Ökonomierat Rebholz Weinstraße 54 76833 Siebeldingen ", Deutschland , Pfalz , Weißwein ,2020, Weißer Riesling , VDP Gutswein , 12 , trocken , Enthält Sulfite , Edelstahltank , 10 - 12 , bis 2030 ,, Stelvin-Drehverschluß , 6.7 , 0.5 ,,,, Wein Direktimport ,,,, Bio nach EU Ökoverordnung ,DE-ÖKO-003,,1," Der 2020 Riesling Gutswein duftet unter anderem nach frischen, reifen Aprikosen, Pfirsichen, Zitronen und Limetten. Klar ist die feine Mineralik erkennbar.Am Gaumen startet er sehr frisch und lebhaft. Die frische Säure und feine Mineralik betonen den klaren Charakter und machen den Wein zum optimalen Begleiter von Süß- und Salzwasserwasserfisch und feinen Vorspeisen. "
575,"   Ökonomierat Rebholz, Bioweingut   2020 Riesling trocken Frankweiler Biengarten VDP.Erste Lage "," Ökonomierat Rebholz, Bioweingut, Weingut Ökonomierat Rebholz Weinstraße 54 76833 Siebeldingen ", Deutschland , Pfalz , Weißwein ,2020, Weißer Riesling , VDP Erste Lage , 12.0 , trocken , Enthält Sulfite , Edelstahltank , 10 - 12 ,, etwa 30 Minuten , Naturkork , 7.3 , 0.3 ,,,,,,,, Bio nach EU Ökoverordnung ,DE-ÖKO-003,,1," Der 2020 Riesling aus dem Frankweiler Biengarten hat eine für die Lage sehr typische ausgeprägt rauchige und würzige Aromatik in der Nase, welche vom Muschelkalkboden geprägt wurde. Die heterogene Bodenzusammensetzung prägt deutlich die ausgeprägte Mineralik, die den Wein „sehr lange schmecken“ läßt.Durch das Zusammenspiel von perfekt gereiften Trauben, der schonenden Verarbeitung von Trauben und Maische sowie dem sanften Ausbau im Edelstahltank entstand ein sehr sortentypischer und eleganter Riesling mit toller Eleganz.Großartig ist die Spannung aus reifer Frucht, Intensität und Komplexität. Die kühle Mineralik und elegante Säure sind besonders reizvoll. Wie alle Weine von Rebholz hat der Wein ein großes Alterungspotential."
576,"   Ökonomierat Rebholz, Bioweingut   2017 Riesling Kabinett vom Rotliegenden "," Ökonomierat Rebholz, Bioweingut, Weingut Ökonomierat Rebholz Weinstraße 54 76833 Siebeldingen ", Deutschland , Pfalz , Weißwein ,2017, Weißer Riesling , Kabinett , 8.0 , fruchtig mit deutlicher Restsüße , Enthält Sulfite , Edelstahltank , 10 - 12 , bis 2030 ,, Naturkork , 9.7 , 53 ,,,,,,,, Bio nach EU Ökoverordnung ,DE-ÖKO-003,,1," Der Wein zeigt ist perfekt ausbalanciert, das Zusammenspiel zwischen Süße und Säure ist großartig. Der 2017 Kabinett hat eine feine Reife, deutliche Mineralik und eine gute Dichte. Die Aromatik ist recht markant, allen voran der feine Rauchtouch, dazu Pfeffer, Heu, Tee, Kräuter plus die für Riesling typischen Aromen von Apfel, Pfirsich und Aprikose.Am Gaumen wiederholt sich das Zusammenspiel fruchtigen und von Mineralik geprägten Komponenten. Mit dem moderaten Alkoholgehalt eignet sich der Wein perfekt zum Apéro, zu Käse und fernöstlichen Aromen. Wie alle Weine von Rebholz hat er ein großes Alterungspotential."
577,"   Ökonomierat Rebholz, Bioweingut   2020 Riesling trocken vom Buntsandstein VDP.Ortswein "," Ökonomierat Rebholz, Bioweingut, Weingut Ökonomierat Rebholz Weinstraße 54 76833 Siebeldingen ", Deutschland , Pfalz , Weißwein ,2020, Weißer Riesling , VDP Ortswein , 12 , trocken , Enthält Sulfite , Edelstahltank , 10 - 12 , 2023 - 2035 ,, Stelvin-Drehverschluß , 6.9 , 0.3 ,,,, Wein Direktimport ,,,, Bio nach EU Ökoverordnung ,DE-ÖKO-003,,1," In der Nase besticht der 2020 Riesling vom Buntsandstein mit seiner ausgeprägten Aromatik, der Wein ist würzig und hat einen rauchigen Touch.Am Gaumen setzt sich dieser Charakter fort, hier wird die Frucht von knackiger Säure und ausgeprägter Mineralik geprägt. Obwohl pfälzisch trocken wirkt der Wein ausgesprochen harmonisch, die Frucht und würzigen Komponenten verbinden sich perfekt. Typisch ist die präsente Mineralik und der frische Zitrusduft. Wie alle Rebholz-Weine verfügt dieser Wein über ein großes Lagerpotenzial."
578,"   Ökonomierat Rebholz, Bioweingut   2020 Riesling trocken vom Muschelkalk "," Ökonomierat Rebholz, Bioweingut, Weingut Ökonomierat Rebholz Weinstraße 54 76833 Siebeldingen ", Deutschland , Pfalz , Weißwein ,2020, Weißer Riesling , VDP Ortswein , 12.5 , trocken , Enthält Sulfite , Edelstahltank , 10 - 12 , 2024 - 2035 ,, Naturkork , 7.1 , 0.2 ,,,, Wein Direktimport ,,,, Bio nach EU Ökoverordnung ,DE-ÖKO-003,,1," Der 2020 Riesling vom Muschelkalk hat eine intensive gelbe Farbe. Er startet in der Nase mit intensiven Aromen von reifen gelben Früchten, Zitronen und feinen Backwaren. Die Mineralik ist präsent. Am Gaumen zupackender Auftakt, dann saftig, leicht phenolisch, mit klarer, kühler Mineralik und komplexer Struktur. Gute Länge und Komplexität, braucht noch ein wenig Zeit um sich voll zu entfalten."
579,   Schloss Gobelsburg   2020 Grüner Veltliner trocken 'Domaene Gobelsburg' ," Schloss Gobelsburg, Weingut Schloss Gobelsburg GmbH, Schlossstraße 16, A-3550 Gobelsburg ", Österreich , Kamptal , Weißwein ,2020, Grüner Veltliner , Qualitätswein , 12.5 , trocken , Enthält Sulfite , Edelstahltank , 8 - 12 , 2025+ ,, Stelvin-Drehverschluß ,,,,,, Wein Direktimport ,,,,,,,1," Der 2020 Domaene Gobelsburg Grüner Veltliner hat eine zarte, hellgelbe Farbe. In der Nase mit überraschend intensiver Frucht, Aromen unter anderem von reifen Zitrusfrüchten, frischer Orangenzeste, reifem grünem Apfel, Birne und Zitronengras, im Hintergrund ein dezentes „Pfefferl“ = feine Kräuterwürze.Am Gaumen ist er herrlich saftig, knackig trocken, die frische Säure paßt perfekt zum lebhaften Charakter des Weines."
580,"   Weingut Wittmann, Bioweingut   2020 Weisser Burgunder trocken "," Weingut Wittmann, Bioweingut, Weingut Wittmann, Mainzer Strasse 19, 67593 Westhofen bei Worms ", Deutschland , Rheinhessen , Weißwein ,2020, Weißer Burgunder/Pinot Blanc/Pinot Bianco , Qualitätswein , 12.5 , trocken , Enthält Sulfite , großes Holzfaß , 10 - 12 , bis 2026+ , etwa 30 Minuten , Naturkork ,,,,,, Wein Direktimport ,,,, Bio nach EU Ökoverordnung ,DE-ÖKO-022,,1," In der Nase ist der 2020 Weisser Burgunder herrlich frisch, elegant und würzig. Aromen von reifem Pfirsich, Aprikose, dazu reife Zitrusfrucht und reife Birne, Limettenschale, Rauch und etwas Grapefruit. Am Gaumen frische, saftige Attacke von reifen Pfirsichen, wider viel reife Zitrusfrucht, feine Phenolik, für Weißburgunder knackige Säure, sehr anregend, dabei elegant und fruchtig. Auch hier mit feiner, leicht salziger Mineralik, gute bis sehr gute Länge. Das ist ein großartiger Einstiegswein!  "
581,"   Weingut Wittmann, Bioweingut   2019 Weißer Burgunder & Chardonnay Westhofener trocken "," Weingut Wittmann, Bioweingut, Weingut Wittmann, Mainzer Strasse 19, 67593 Westhofen bei Worms ", Deutschland , Rheinhessen , Weißwein ,2019," Chardonnay, Weißer Burgunder/Pinot Blanc/Pinot Bianco ", Qualitätswein , 12.5 , trocken , Enthält Sulfite , großes Holzfaß , 10 - 12 , 2032+ ,, Naturkork ,,,,,, Wein Direktimport ,,,, Bio nach EU Ökoverordnung ,DE-ÖKO-022,,1," In der Nase hat die 2020er Cuvée aus Weißburgunder und Chardonnay viel reifer Pirsich, grüne Birne und Apfel, ein wenig Kiwi, wunderbar harmonisch und ohne Extreme, die ihn fett und wuchtig machen würden.Am Gaumen startet er saftig und frisch, mit feinem, anregendem Säuregerüst, frischen Aromen von Gelbfrüchten, etwas Apfel, Zitrusfrucht und etwas Mango. Der Wein bleibt beschwingt und elegant, hat die kühle Mineralik wie in der Nase und auch hier gibt es die perfekte Balance zwischen feiner Würze, sanftem Holz und cremiger Struktur. Wer den klaren, kühlen Stil der beiden Rebsorten sucht wird diesen vielseitig einsetzbaren Wein lieben."
582,"   Weingut Wittmann, Bioweingut   2020 Grauer Burgunder trocken "," Weingut Wittmann, Bioweingut, Weingut Wittmann, Mainzer Strasse 19, 67593 Westhofen bei Worms ", Deutschland , Rheinhessen , Weißwein ,2020," Grauer Burgunder, Pinot Gris, Pinot Grigio ", Qualitätswein , 12.5 , trocken , Enthält Sulfite , großes Holzfaß , 10 - 12 , bis 2026 , etwa 30 Minuten , Stelvin-Drehverschluß ,,,Weinberge rund um Westhofen,,, Wein Direktimport ,,,, Bio nach EU Ökoverordnung ,DE-ÖKO-022,,1," Der 2020 Grauer Burgunder trocken hat in der Nase würzige reifer gelber Äpfel, gelbem Steinobst, dezent reife Cavaillonmelone, Karamel und Nußschale. Es ist elegant, verliert aber nicht die wunderbar typische Charakteristik.Am Gaumen startet er fein und saftig-elegant, der zarte Schmelz, die frische Zitrusfrucht und deutliche Mineralik sorgen für ein überraschend feines, harmonisches und äußerst anregendes Spiel. Erst im langen Nachhall wird deutlich, über wieviel Kraft der Wein verfügt."
583,"   Weingut Wittmann, Bioweingut   2020 Riesling trocken "," Weingut Wittmann, Bioweingut, Weingut Wittmann, Mainzer Strasse 19, 67593 Westhofen bei Worms ", Deutschland , Rheinhessen , Weißwein ,2020, Weißer Riesling , Qualitätswein , 12.0 , trocken , Enthält Sulfite ,, 10 - 12 , bis 2026 ,, Naturkork ,,,Weinberge rund um Westhofen,,, Wein Direktimport ,,,, Bio nach EU Ökoverordnung ,DE-ÖKO-022,,1," In der Nase ist der 2020 Riesling trocken fein und würzig, mit frischem Duft nach Aprikosen, gelbem Apfel, reifen Zitrusfrüchten und feiner Kräuterwürze. Am Gaumen startet er saftig und mit klarer, leicht salziger Mineralik. Knackig frische aber reife Säure, feine Phenolik, wieder reife Zitrusfrucht, klassisch trocken. Es ist wie in den Jahren vorher ein genialer, trockener Wein mit einer ausgewogenen Kombination aus munterer Säure und Extrakt."
584,   Weingut von Winning   2020 Riesling trocken Deidesheimer Paradiesgarten ," Weingut von Winning, Weingut von Winning, Weinstrasse 10, 67146 Deidesheim ", Deutschland , Pfalz , Weißwein ,2020, Weißer Riesling ," Qualitätswein, VDP Erste Lage ", 12.5 , trocken , Enthält Sulfite ," Edelstahltank, Holzfaß ", 8 - 10 , bis 2033 ,, Stelvin-Drehverschluß ,,,"Osthang, ca. 150 m n.N.",kalkiger Lehm und Buntsandstein,Gärung im Holzfaß mit 500 und 1200 l Inhalt, Wein Direktimport ,,,,,,,1," Der 2020 Riesling trocken aus dem Deidesheimer Paradiesgarten duftet nach reifer Birne, Apfel, feiner Zitrone, etwas Grapefruit, Aprikose, Pfirsich, florale Aromen und eine dezente Rauchnote vom Anteil frischen Holzes. Die Nase ist wunderbar frisch und klar, die feine Mineralik sorgt für zusätzliche Spannung. Die charmante, anregende Nase pendelt quasi zwischen Würze und Feinheit hin und her. Der erste Eindruck am Gaumen ist beeindruckend, zuerst wuchtig, dann wieder wunderbar fein und ebenso klar wie die Nase. Die feine Fruchtsüße sorgt für Schmelz, die pikante Säure für Frische und Eleganz. Die Frucht ist präsent, Aromen siehe oben, ergänzt von feiner Orangenzeste und auch am Gaumen feiner Mineralik. Der Wein ist komplex, animiert zum nächsten Schluck und bietet große Tiefe und Länge. Paradiesisch! Von Winning hat hiermit das nächste Meisterstück abgeliefert."
585,   Weingut von Winning   2020 Grauer Burgunder trocken ," Weingut von Winning, Weingut von Winning, Weinstrasse 10, 67146 Deidesheim ", Deutschland , Pfalz , Weißwein ,2020, Weißer Burgunder/Pinot Blanc/Pinot Bianco , VDP Gutswein , 12.5 , trocken , Enthält Sulfite ," Edelstahltank, Holzfaß ", 8 - 12 , bis 2026 , etwa 30 Minuten , Stelvin-Drehverschluß , 6.4 , 7.7 ,Lagen in Ruppertsberg,,,,,,,,,,1,
586,   Ottella   2020 Lugana DOC Le Creete ," Ottella, Loc. Boschetti, 37019 San Benedetto di Lugana, Peschiera del Garda VA, Italien ", Italien , Veneto , Weißwein ,2020, Turbiana/Trebbiano di Lugana , DOC , 13.0 , trocken , Enthält Sulfite , Edelstahltank , 10 - 12 , 2025+ , etwa 30 Minuten , Naturkork ,,,,,," Wein Direktimport, Wine Enthusiast "," Fisch, Süßwasser, Pasta, Risotto mit Gemüse, Salat ",,,,,,1," Derzeit ist der 2020 Lugana DOC ‚Le Creete‘ noch ein wenig verschlossen, nach längerem Lüften entwickeln sich intensive Aromen von Ananas, Grapefruit, Zitrone, ergänzt von deutlicher Kräuterwürze und feiner Mineralik.Am Gaumen gibt es einen kraftvollen Auftakt, der dennoch elegant und mit viel Finesse versehen ist. Dazu gibt eine feine, frische Säure, eine cremige Textur und würzige Mineralik. Bereits jetzt ist die tolle Harmonie erkennbar, gönnen Sie ihm etwas Luft im Dekanter oder Ruhezeit bis Ende Juni 2021. Editors‘ Choice. K. O., Wine Enthusiast, Juli 2021: „Aromas of elderflower, citrus and tropical fruit lead the nose. Tangy and savory, the vibrant palate offers Grapefruit, gooseberry and pineapple before saline finish."""
587,   Domaine Hudelot-Noëllat   2019 Meursault 'Clos des Ecoles' ," Domaine Hudelot-Noëllat , 5 Ancienne RN 74 F-21220 Chambolle-Musigny ", Frankreich , Bourgogne , Weißwein ,2019, Chardonnay ," AOC, Premiumwein ", 13.5 , trocken , Enthält Sulfite , Barriquefaß , 10 - 14 , bis 2033 ,, Naturkork ,,,,"Kalk, Lehm",, Robert Parker ,,,,,,,1," William Kelley, wine advocate, Januar 2021: „Aromas of pear, yellow orchard fruit, white flowers and buttered toast introduce the 2019 Meursault Clos des Ecoles, a medium-bodied, open and lively wine that's fleshy and enveloping. Open and demonstrative, this will drink well young.“"
588,   Domaine de Triennes   2019 Viognier Sainte Fleur ," Domaine de Triennes, RDN 560 F-83860 Nans-les-Pins ", Frankreich , Provence , Weißwein ,2019, Viognier , Méditerranée IGP , 14.0 , trocken , Enthält Sulfite , Edelstahltank , 8 - 12 , 2023+ ,, Kork ,,,,,, Wein Direktimport ," Fisch vom Grill, Gemüse, gebraten, Käse ",,, Bio nach EU Ökoverordnung ,FR-BIO-01,,1,
589,   Domaine de Triennes   2019 Blanc 'Les Auréliens' ," Domaine de Triennes, RDN 560 F-83860 Nans-les-Pins ", Frankreich , Provence , Weißwein ,2019," Chardonnay, Grenache Blanc, Rolle/Vermentino, Ugni Blanc, Viognier ", Méditerranée IGP , 13 , trocken , Enthält Sulfite ," Barriquefaß, Edelstahltank ", 8 - 12 , bis 2024 ,, Kork ,,,,,, Wein Direktimport ," Fisch vom Grill, Gemüse, gebraten, Gemüselasagne, Käse, Lamm, mediterraner Küche ",,Paßt zur Andalusischen Gazpacho., Bio nach EU Ökoverordnung ,FR-BIO-01,,1," Der 2019 Les Aureliens Blanc hat in der Nase Aromen von gelbem Apfel, Pfirsich, Aprikose, dazu Aromen von Zitrusfrüchten, Süßmandeln und frischen Haselnüssen. Am Gaumen mit frischem Auftakt, gefolgt von cremiger Textur und saftiger Frucht, mittlerer frischer Säure und angenehm trockener, sehr harmonischer Struktur. Der Wein paßt perfekt zur mediterranen Küche, egal ob Fisch, Krustentieren, Fleisch oder Käse. Ein echter Tausensassa! "
590,   Weingut Dönnhoff   2010 Riesling Auslese Niederhäuser Hermannshöhle 'Goldkapsel' 375 ml ," Weingut Dönnhoff, Weingut Dönnhoff, Bahnhofstraße 11, 55585 Oberhausen an der Nahe ", Deutschland , Nahe , Weißwein ,2010, Weißer Riesling , Auslese , 7.0 , edelsüß , Enthält Sulfite , Edelstahltank , 8 - 12 , bis 2031 ,, Naturkork ,,,"Niederhäuser Hermannshöhle, Südlage, 130 - 175 m über NN.","Schwarzgrauer Schiefer, vulkanisches Eruptivgestein, Porphyr, Kalkstein.",Gärung und Reife im Edelstahltank, Robert Parker ,,,,,,,1," David Schildknecht, Wine Advocate, Dezember 2011: „Smoky black tea wafts over quince preserves and almost overripe pear on the nose and the glossy, subtly creamy, yet bright palate of Donnhoff's 2010 Niederhauser Hermannshohle Riesling Auslese Gold Capsule. Nut paste and a savory smoked meat dimension contribute complexity to this lusciously lingering Auslese, but one that "" like its Brucke counterpart' does not capture the dynamic spirit of the 2010 vintage to quite the extent of its Spatlese siblings, and would benefit (might well, in time) from a bit more focus. Still, this will impress regardless for at least two decades.“"
591,   Weingut Schäfer-Fröhlich   2020 Weisser Burgunder trocken ," Weingut Schäfer-Fröhlich, D-55595 Bockenau, Schulstraße 6 ", Deutschland , Nahe , Weißwein ,2020, Weißer Burgunder/Pinot Blanc/Pinot Bianco , Qualitätswein , 13.5 , trocken , Enthält Sulfite ,, 8 - 12 , bis 2026 ,, Stelvin-Drehverschluß ,,,,,, Wein Direktimport ,,,,,,,1," Intensiv, extraktreich und doch fein! Der 2020 Weisser Burgunder hat in der Nase feine Aromen von reifer Ananas, Melone und frischen Zitrusfrüchten. Am Gaumen hat er eine cremige Textur, eine deutliche Burgundertypizität und Mineralik. Er endet mit einem lang anhaltendem Abgang."
592,   Weingut Schäfer-Fröhlich   2020 Grauburgunder 'S' trocken ," Weingut Schäfer-Fröhlich, D-55595 Bockenau, Schulstraße 6 ", Deutschland , Nahe , Weißwein ,2020," Grauer Burgunder, Pinot Gris, Pinot Grigio ", Qualitätswein , 14.0 , trocken , Enthält Sulfite ," großes Holzfaß, Spontangärung ", 10 - 12 , 2022 - 2035 , etwa 30 Minuten , Naturkork ,,,,,,,,,,,,,1,
593,   Weingut Schäfer-Fröhlich   2020 Weisser Burgunder 'S' trocken ," Weingut Schäfer-Fröhlich, D-55595 Bockenau, Schulstraße 6 ", Deutschland , Nahe , Weißwein ,2020, Weißer Burgunder/Pinot Blanc/Pinot Bianco , Qualitätswein , 13 , trocken , Enthält Sulfite , großes Holzfaß , 10 - 12 , 2023 - 2035 , etwa 30 Minuten , Naturkork ,,,,,,,,,,,,,1,
594,   Weingut Schloss Lieser   2019 Riesling Spätlese Niederberg Helden ," Weingut Schloss Lieser, Am Markt 1-5, D-54470 Lieser ", Deutschland , Mosel , Weißwein ,2019, Weißer Riesling , Spätlese , 8.0 , süß , Enthält Sulfite , Edelstahltank , 8 - 12 , 2025 -2050 ,, Naturkork ,,,Niederberger Helden,,, Wein Direktimport ,,,,,,,1," Spät im Niederberger Helden gelesenes, prachtvolles und gesundes Lesegut mit reifer Säure. Was nicht heißen soll, sie wäre inexistent.Stoffige, dichte Nase, viel reife gelbe Früchte, dezent Mango, etwas Blutorange und über allem schwebt etwas weißer Pfeffer und die mineralische Würze vom Schieferboden. Diese wird am Gaumen von einer dezenten Salznote ergänzt. Hier kommt auch wieder die dichte, komplexe, süßliche Frucht mit etwas Grapefruitwürze perfekt zur Geltung und die pikante, knackige Säure sorgt für lang anhaltende Frische. Was für ein Wein! Kraftvoll und dennoch mit einer grandiosen Finesse. Grandios gemacht, ein toller Wein mit großer Feinheit und, entschuldigen Sie den altmodischen Ausdruck, Rasse. Stephan Reinhardt, Wine Advocate, August 2020: „Schloss Lieser's 2019 Niederberg Helden Riesling Spätlese displays a clear, intense and slightly spicy bouquet of super ripe fruits and some notes of field flowers and weathered stones. Lush and sweet but very elegant and fine on the palate, this is an elegant, delicate and piquant fruit cocktail with fine grip on the slightly salty, delicate finish. This is possibly the finest Helden Spätlese since 2015. Tasted from AP 1420 in May 2020.“"
595,   Weingut Schäfer-Fröhlich   2020 Riesling trocken ," Weingut Schäfer-Fröhlich, D-55595 Bockenau, Schulstraße 6 ", Deutschland , Nahe , Weißwein ,2020, Weißer Riesling ," Qualitätswein, VDP Gutswein ", 12.0 , trocken , Enthält Sulfite ,, 8 - 12 , 2023 - 2032 ,, Stelvin-Drehverschluß ,,,"Stromberg, Felsenberg",Vulkangestein,"Direktkelterung, Spontangärung, Feinhefelager bis März", Wein Direktimport ,,,,,,,1,
